Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"This Villainess Wants 
a Divorce",Lady to Queen,"The Scandalous 
Secret of the Crown 
Princess",The Great Wish,A Villainess No More,The Soulless Duchess,Wall Of Glass,"Ginger and the
Cursed Prince",The Heroine of Drayfox,"The Legend of 
Yeonhwa","The Villainess  Lives 
Again",Just Leave Me Be,Under The Oak Tree,"The Newlywed Diary of 
a Witch and Dragon","I Dream of Health, 
Wealth, and a Long 
Life","Happily Ever 
Afterwards",Hanyang Diaries,"The Flower Dances and 
the Wind Sings",Beau and the Beast,"Villain Duke's Precious 
One","Love Blossoms in 
Hwawol Valley",Saving My Sweetheart,Lady Scarlet,"Precious Daughter of 
the Greatest Martial 
Arts Villain","Lily the Vicious 
Villainess",Romance in Seorabeol,"Falling Flower, Flowing 
Water",The Falcon Princess,No Outtakes,Crazy Like A Fox
Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Living With Magicians,Oh! My Hubby,Finding Camellia,"The Princess's Doll 
Shop ",The Black Wolf's Bride,Dear My Hunny Bunny,"Follow the Bread 
Crumbs","My Husband, My Sister, 
and I",Lucid Encounter,Wild Eyes,A Chance At Last,"The Crown Princess 
Scandal",A Sip of Poison,"Your Regrets Mean 
Nothing to Me","Regina Rena - To The 
Unforgiven","Dawn Lighting Up The 
Clouds","The Siren: Becoming 
the Villain's Family","Resigning as the 
Villainess","My Husband Ascended 
as the Chosen One",Secret Outing,Princess of the Animals,"Lady Isabella's Path to 
Happiness","A Marriage Alliance for 
Revenge","Office Romance from 
Hell",The Max Level Heroine,"Ophelia the Oracle 
Queen",June Peach,"Don't Fall For The
Villainess","The Fantastic Spinsters' 
Association of Joseon",The Doctor Is Out
Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The Empress Who 
Become The Head 
of the Underworld",Cooking Sorcerer,Master of the Dragon,Adeline's Darkest Night,Fly Me to the Moon,"The Northern Duke 
Needs a Warm Hug","I Tried to Run Away 
After Eating the Male 
Lead",Ingram's Lantern,"The Empress of the 
Ashes",My Dear Tyrant,"I Tamed My 
Ex-Husband's Mad Dog",Neyra's Dragon,"Surviving as the Devil's
Child ",Dream of a Sweet Rain,"The Baengri Clan's 
Unwanted 
Granddaughter","Hilde Takes the House
Apreggio","The Unintentionally 
Ideal Adopted 
Daughter","The Wizard of the 
Circle",The Fitness Villainess,"Calm Down, Lady 
Ophelia!",The Night of Betrayal,Requiem for the Queen,"The Archduke’s 
Adopted Saint","The Villainess Once 
Said","My Sweet Enemy, Thy 
Name is Husband","The Circumstances of 
the White Cat Bitten by 
the Black Panther Count",A Foxy Affair,The Lady Alchemist,"I Hold The 
Tyrant's Heart","I Will Not Return to My 
Family"
Black,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"The Villainess's Blind
Date  Is Too Perfect","The Contracted Grand
Duchess","The Wallflower Who 
Was Proposed to by 
the Tyrant","Married to a Duke 
Called Beast",Fortune-Telling Lady,"You Have to Repay 
Your Savior","The Deposed Empress' 
Scandal",Cinderella Disappeared,"I'm the Male Lead's 
Patron","The Housekeeper of 
the Dungeon","Made Into the Main 
Character","You're Unforgiven, 
Your Majesty","Contract Marrying 
Because I Am 
Terminally Ill",Underground of Babel,"The Ash Salmon 
Quenches the Beast 
Monarch's Desire","The Handmaiden 
Dreams at Sunset","Camellia Flower With 
Black Mane in Hand","All About Dominative 
and Exclusive 
Destruction","I'll Predict Your Happy 
Ending","I'm Going Through 
Time to Meet You","My First Kiss With the 
Evil Butler","The Maid No Longer 
Desires her Master","Protect Me from 
Despair","I Don't Want to Be a 
Lady",Prisoner in a Dream,"Turning the Mad Dog 
into a Genteel Lord","Finally, the Dawn 
Came",Yowoondang,"My Husband Is Weak 
by Day, Strong by Night","Survive as the 
Villain's Cousin"
